candidate_id,rank,score,reasoning
CAND_0077337,1,0.921408,"Staff Machine Learning Engineer at Paytm with 7 years building retrieval and ranking systems, with validated depth in BM25, Information Retrieval and OpenSearch; based in Kochi, Kerala, actively open to work."
CAND_0011687,2,0.919700,"Senior NLP Engineer at Niramai with 7.8 years building retrieval and ranking systems, with validated depth in Embeddings, FAISS and OpenSearch; based in Indore, Madhya Pradesh, actively open to work."
CAND_0007412,3,0.917150,"Applied ML Engineer at Zoho with 7.4 years building retrieval and ranking systems, with validated depth in BM25, Milvus and Pinecone; based in Noida, Uttar Pradesh, actively open to work."
CAND_0000031,4,0.916305,"Recommendation Systems Engineer at Swiggy with 6 years building retrieval and ranking systems, with validated depth in Embeddings, FAISS and Information Retrieval; based in Hyderabad, Telangana, actively open to work."
CAND_0064326,5,0.912032,"Search Engineer at Sarvam AI with 7.6 years building retrieval and ranking systems, with validated depth in BM25, Milvus and Python; based in Gurgaon, Haryana, actively open to work."
CAND_0046525,6,0.911125,"Senior Machine Learning Engineer at Genpact AI with 6.1 years building retrieval and ranking systems, with validated depth in Elasticsearch, Information Retrieval and Qdrant; based in Pune, Maharashtra, actively open to work."
CAND_0071974,7,0.909043,"Senior AI Engineer at Netflix with 7.8 years building retrieval and ranking systems, with validated depth in BM25, Elasticsearch and Embeddings; based in Vizag, Andhra Pradesh, actively open to work."
CAND_0041669,8,0.909039,"Recommendation Systems Engineer at CRED with 8 years building retrieval and ranking systems, with validated depth in FAISS, Information Retrieval and Milvus; based in Noida, Uttar Pradesh, actively open to work."
CAND_0088025,9,0.905116,"Staff Machine Learning Engineer at Yellow.ai with 8.6 years building retrieval and ranking systems, with validated depth in BM25, Elasticsearch and Learning to Rank; based in Jaipur, Rajasthan, actively open to work."
CAND_0075249,10,0.904918,"Applied ML Engineer at Zomato with 6.2 years building retrieval and ranking systems, with validated depth in BM25, Learning to Rank and Milvus; based in Ahmedabad, Gujarat, actively open to work."
CAND_0002025,11,0.899373,"Senior AI Engineer at Apple with 5.9 years building retrieval and ranking systems, with validated depth in FAISS, OpenSearch and Pinecone; based in Trivandrum, Kerala, actively open to work."
CAND_0046064,12,0.898960,"Senior NLP Engineer at Salesforce with 8.9 years building retrieval and ranking systems, with validated depth in BM25, Elasticsearch and OpenSearch; based in Coimbatore, Tamil Nadu, actively open to work."
CAND_0050876,13,0.898356,"Applied ML Engineer at Freshworks with 6 years building retrieval and ranking systems, with validated depth in FAISS, OpenSearch and Python; based in Kolkata, West Bengal, actively open to work."
CAND_0018499,14,0.896149,"Senior Machine Learning Engineer at Zomato with 7.2 years building retrieval and ranking systems, with validated depth in BM25, Embeddings and Information Retrieval; based in Noida, Uttar Pradesh, actively open to work."
CAND_0074225,15,0.895297,"Machine Learning Engineer at Unacademy with 4.3 years building retrieval and ranking systems, with validated depth in Elasticsearch, Milvus and Python; based in Vizag, Andhra Pradesh, actively open to work."
CAND_0009691,16,0.893050,"Applied ML Engineer at LinkedIn with 6.2 years building retrieval and ranking systems, with validated depth in FAISS, Pinecone and Qdrant; based in Indore, Madhya Pradesh, actively open to work."
CAND_0018549,17,0.890724,"Recommendation Systems Engineer at Uber with 6.8 years building retrieval and ranking systems, with validated depth in Elasticsearch, Milvus and OpenSearch; based in Coimbatore, Tamil Nadu, actively open to work."
CAND_0011162,18,0.886641,"Recommendation Systems Engineer at upGrad with 5.8 years building retrieval and ranking systems, with validated depth in Embeddings, FAISS and Milvus; based in Coimbatore, Tamil Nadu, actively open to work."
CAND_0008425,19,0.882310,"Senior NLP Engineer at Ola with 7.8 years building retrieval and ranking systems, with validated depth in Information Retrieval, Learning to Rank and Python; based in Kolkata, West Bengal, actively open to work."
CAND_0096142,20,0.881059,"Applied ML Engineer at upGrad with 5 years building retrieval and ranking systems, with validated depth in BM25, Pinecone and Python; based in Hyderabad, Telangana, actively open to work."
CAND_0061339,21,0.880361,"Search Engineer at Rephrase.ai with 4.2 years building retrieval and ranking systems, with validated depth in Information Retrieval, Milvus and OpenSearch; based in Chandigarh, Chandigarh, actively open to work."
CAND_0081846,22,0.874303,"Lead AI Engineer at Razorpay with 6.7 years building retrieval and ranking systems, with validated depth in BM25, Elasticsearch and Embeddings; based in Jaipur, Rajasthan, actively open to work."
CAND_0006557,23,0.870100,"NLP Engineer at Paytm with 7.9 years building retrieval and ranking systems, with validated depth in Elasticsearch, FAISS and Information Retrieval; based in Jaipur, Rajasthan, actively open to work."
CAND_0040117,24,0.867400,"Recommendation Systems Engineer at PhonePe with 6.5 years building retrieval and ranking systems, with validated depth in BM25, Embeddings and FAISS; based in Vizag, Andhra Pradesh, actively open to work."
CAND_0070398,25,0.866855,"Machine Learning Engineer at Genpact AI with 7.2 years building retrieval and ranking systems, with validated depth in BM25, Embeddings and FAISS; based in Kochi, Kerala, actively open to work."
CAND_0075574,26,0.865953,"Machine Learning Engineer at Haptik with 5.7 years building retrieval and ranking systems, with validated depth in BM25, Elasticsearch and OpenSearch; based in Bangalore, Karnataka, actively open to work."
CAND_0068811,27,0.864200,"Applied ML Engineer at Freshworks with 8 years building retrieval and ranking systems, with validated depth in Embeddings, OpenSearch and Pinecone; based in Pune, Maharashtra, actively open to work."
CAND_0052682,28,0.862155,"NLP Engineer at Aganitha with 6.6 years building retrieval and ranking systems, with validated depth in Embeddings, FAISS and Python; based in Vizag, Andhra Pradesh, actively open to work."
CAND_0077285,29,0.861260,"Recommendation Systems Engineer at Nykaa with 5.5 years building retrieval and ranking systems, with validated depth in Embeddings, FAISS and Information Retrieval; based in Ahmedabad, Gujarat, actively open to work."
CAND_0005260,30,0.859564,"Senior NLP Engineer at Netflix with 5.2 years building retrieval and ranking systems, with validated depth in Embeddings, Information Retrieval and Python; based in Chennai, Tamil Nadu, available with notice."
CAND_0066376,31,0.858518,"Applied ML Engineer at Dream11 with 5.7 years building retrieval and ranking systems, with validated depth in BM25, FAISS and Information Retrieval; based in Mumbai, Maharashtra, actively open to work."
CAND_0017960,32,0.858465,"Recommendation Systems Engineer at Nykaa with 7.7 years building retrieval and ranking systems, with validated depth in Information Retrieval, Python and Qdrant; based in Bangalore, Karnataka, actively open to work."
CAND_0010685,33,0.857684,"NLP Engineer at Rephrase.ai with 6.7 years building retrieval and ranking systems, with validated depth in Elasticsearch, Information Retrieval and RAG; based in Kolkata, West Bengal, actively open to work."
CAND_0091909,34,0.857500,"Machine Learning Engineer at Rephrase.ai with 6.9 years building retrieval and ranking systems, with validated depth in Learning to Rank, OpenSearch and Pinecone; based in Bangalore, Karnataka, actively open to work."
CAND_0081053,35,0.856253,"NLP Engineer at Glance with 5.4 years building retrieval and ranking systems, with validated depth in Learning to Rank, OpenSearch and Qdrant; based in Chandigarh, Chandigarh, actively open to work."
CAND_0086022,36,0.855916,"Senior Applied Scientist at Sarvam AI with 5.3 years building retrieval and ranking systems, with validated depth in Elasticsearch, Embeddings and Pinecone; based in Kolkata, West Bengal, actively open to work."
CAND_0061655,37,0.853296,"Machine Learning Engineer at Krutrim with 4.6 years building retrieval and ranking systems, with validated depth in BM25, Elasticsearch and OpenSearch; based in Jaipur, Rajasthan, available with notice."
CAND_0061265,38,0.850298,"Recommendation Systems Engineer at Zoho with 6.6 years building retrieval and ranking systems, with validated depth in Embeddings, Learning to Rank and Milvus; based in Delhi, Delhi, actively open to work."
CAND_0028793,39,0.849233,"Search Engineer at Google with 7.2 years building retrieval and ranking systems, with validated depth in Embeddings, Information Retrieval and Learning to Rank; based in Trivandrum, Kerala, actively open to work."
CAND_0042506,40,0.847584,"Search Engineer at Verloop.io with 4.2 years building retrieval and ranking systems, with validated depth in FAISS, Information Retrieval and Milvus; based in Mumbai, Maharashtra, actively open to work."
CAND_0039383,41,0.843872,"Applied ML Engineer at Meesho with 7.1 years building retrieval and ranking systems, with validated depth in Elasticsearch, FAISS and Vector Search; based in Gurgaon, Haryana, actively open to work."
CAND_0086151,42,0.841100,"Recommendation Systems Engineer at Wysa with 7.7 years building retrieval and ranking systems, with validated depth in BM25, Elasticsearch and Embeddings; based in Vizag, Andhra Pradesh, actively open to work."
CAND_0080766,43,0.837425,"Staff Machine Learning Engineer at Salesforce with 8.8 years building retrieval and ranking systems, with validated depth in Elasticsearch, Milvus and OpenSearch; based in Coimbatore, Tamil Nadu, available with notice."
CAND_0030348,44,0.837033,"Machine Learning Engineer at BYJU'S with 4.5 years building retrieval and ranking systems, with validated depth in Elasticsearch, Embeddings and Python; based in Noida, Uttar Pradesh, actively open to work."
CAND_0001610,45,0.836775,"Machine Learning Engineer at Dream11 with 3 years building retrieval and ranking systems, with validated depth in FAISS, Information Retrieval and Milvus; based in Trivandrum, Kerala, actively open to work. One concern: only 3 years of experience (JD asks for 5–9)."
CAND_0057563,46,0.834724,"NLP Engineer at Locobuzz with 6.8 years building retrieval and ranking systems, with validated depth in Elasticsearch, OpenSearch and RAG; based in Indore, Madhya Pradesh, available with notice."
CAND_0030953,47,0.834559,"Search Engineer at Nykaa with 7.8 years building retrieval and ranking systems, with validated depth in Learning to Rank, Python and Qdrant; based in Chennai, Tamil Nadu, available with notice."
CAND_0049896,48,0.834343,"Search Engineer at Unacademy with 7.3 years building retrieval and ranking systems, with validated depth in Information Retrieval, Sentence Transformers and Vector Search; based in Vizag, Andhra Pradesh, actively open to work."
CAND_0042100,49,0.832988,"Machine Learning Engineer at Freshworks with 7.3 years building retrieval and ranking systems, with validated depth in Elasticsearch, Learning to Rank and Pinecone; based in Singapore, actively open to work."
CAND_0012957,50,0.832099,"Search Engineer at Razorpay with 4.9 years building retrieval and ranking systems, with validated depth in BM25, Embeddings and Python; based in Chennai, Tamil Nadu, available with notice."
CAND_0054123,51,0.832058,"Applied ML Engineer at Meta with 4.7 years building retrieval and ranking systems, with validated depth in Python, Qdrant and Vector Search; based in Gurgaon, Haryana, available with notice."
CAND_0079387,52,0.828999,"Title is 'AI Engineer' but career history shows 14 retrieval/ranking signal(s) and skills include BM25, Learning to Rank and OpenSearch; 6.9 years of experience, based in Trivandrum, Kerala."
CAND_0039838,53,0.828782,"Recommendation Systems Engineer at Amazon with 4.9 years building retrieval and ranking systems, with validated depth in Embeddings, Milvus and OpenSearch; based in Kochi, Kerala, actively open to work."
CAND_0027691,54,0.828542,"NLP Engineer at Haptik with 6.5 years building retrieval and ranking systems, with validated depth in Embeddings, Learning to Rank and Python; based in Pune, Maharashtra, actively open to work."
CAND_0019480,55,0.828186,"NLP Engineer at Meesho with 2.8 years building retrieval and ranking systems, with validated depth in BM25, Milvus and OpenSearch; based in Chennai, Tamil Nadu, actively open to work. One concern: only 2.8 years of experience (JD asks for 5–9)."
CAND_0078002,56,0.826174,"Machine Learning Engineer at Meta with 6.3 years of experience; career descriptions show 7 retrieval/ranking signal(s) and 4 production deployment mention(s), though fewer formally listed skills match the JD's must-haves."
CAND_0015528,57,0.825500,"Applied ML Engineer at Krutrim with 7.4 years building retrieval and ranking systems, with validated depth in FAISS, Information Retrieval and OpenSearch; based in Coimbatore, Tamil Nadu, available with notice."
CAND_0041610,58,0.822065,"Recommendation Systems Engineer at Zoho with 6.7 years building retrieval and ranking systems, with validated depth in BM25, Elasticsearch and Embeddings; based in Indore, Madhya Pradesh, actively open to work."
CAND_0053695,59,0.821935,"Recommendation Systems Engineer at Meesho with 5.8 years building retrieval and ranking systems, with validated depth in Embeddings, Pinecone and Sentence Transformers; based in Bhubaneswar, Odisha, actively open to work."
CAND_0081686,60,0.820479,"Search Engineer at Netflix with 6 years building retrieval and ranking systems, with validated depth in Embeddings, FAISS and Milvus; based in Austin, available with notice."
CAND_0070202,61,0.818502,"Machine Learning Engineer at BYJU'S with 5.1 years building retrieval and ranking systems, with validated depth in BM25, Embeddings and Learning to Rank; based in Jaipur, Rajasthan, available with notice."
CAND_0010257,62,0.818262,"Title is 'Senior Data Scientist' but career history shows 7 retrieval/ranking signal(s) and skills include Milvus, OpenSearch and Python; 6.5 years of experience, based in Noida, Uttar Pradesh."
CAND_0026532,63,0.815230,"Recommendation Systems Engineer at Zomato with 4.8 years building retrieval and ranking systems, with validated depth in Embeddings, FAISS and Information Retrieval; based in Chennai, Tamil Nadu, actively open to work."
CAND_0031593,64,0.812879,"Search Engineer at Genpact AI with 7.8 years building retrieval and ranking systems, with validated depth in BM25, Elasticsearch and Embeddings; based in Kolkata, West Bengal, actively open to work."
CAND_0055905,65,0.809798,"Senior Machine Learning Engineer at Flipkart with 8.1 years building retrieval and ranking systems, with validated depth in Elasticsearch, Embeddings and Information Retrieval; based in London, actively open to work."
CAND_0075439,66,0.808567,"Machine Learning Engineer at Flipkart with 4.3 years building retrieval and ranking systems, with validated depth in Elasticsearch, Embeddings and Information Retrieval; based in Vizag, Andhra Pradesh, available with notice."
CAND_0093547,67,0.807111,"Senior Machine Learning Engineer at PhonePe with 2.9 years building retrieval and ranking systems, with validated depth in FAISS, Information Retrieval and Learning to Rank; based in Coimbatore, Tamil Nadu, available with notice. One concern: only 2.9 years of experience (JD asks for 5–9)."
CAND_0005538,68,0.806665,"Senior AI Engineer at Adobe with 5.9 years of experience; career descriptions show 6 retrieval/ranking signal(s) and 6 production deployment mention(s), though fewer formally listed skills match the JD's must-haves."
CAND_0009024,69,0.805397,"Search Engineer at Google with 5.2 years building retrieval and ranking systems, with validated depth in FAISS, OpenSearch and Qdrant; based in Chennai, Tamil Nadu, actively open to work."
CAND_0089552,70,0.804800,"Machine Learning Engineer at Netflix with 6 years building retrieval and ranking systems, with validated depth in BM25, Milvus and Qdrant; based in Kolkata, West Bengal, available with notice."
CAND_0096172,71,0.803623,"NLP Engineer at Krutrim with 5.2 years building retrieval and ranking systems, with validated depth in Elasticsearch, OpenSearch and Python; based in Chennai, Tamil Nadu, available with notice."
CAND_0027801,72,0.801900,"NLP Engineer at InMobi with 7.4 years building retrieval and ranking systems, with validated depth in FAISS, Learning to Rank and Milvus; based in Hyderabad, Telangana, actively open to work."
CAND_0022812,73,0.797849,"Applied ML Engineer at Dream11 with 4.5 years building retrieval and ranking systems, with validated depth in Pinecone, Qdrant and Sentence Transformers; based in Coimbatore, Tamil Nadu, available with notice."
CAND_0099401,74,0.797591,"NLP Engineer at Dream11 with 7.7 years building retrieval and ranking systems, with validated depth in BM25, Embeddings and Information Retrieval; based in Ahmedabad, Gujarat, available with notice."
CAND_0084819,75,0.796059,"Search Engineer at Dream11 with 4.5 years building retrieval and ranking systems, with validated depth in BM25, Information Retrieval and OpenSearch; based in Indore, Madhya Pradesh, actively open to work."
CAND_0064270,76,0.792635,"Applied ML Engineer at Verloop.io with 4.2 years building retrieval and ranking systems, with validated depth in BM25, Elasticsearch and Embeddings; based in Pune, Maharashtra, available with notice."
CAND_0014440,77,0.787526,"Recommendation Systems Engineer at CRED with 6.4 years building retrieval and ranking systems, with validated depth in Elasticsearch, FAISS and Milvus; based in Chennai, Tamil Nadu, actively open to work."
CAND_0079284,78,0.787086,"Machine Learning Engineer at Google with 4.9 years building retrieval and ranking systems, with validated depth in Elasticsearch and Qdrant; based in Hyderabad, Telangana, available with notice."
CAND_0006567,79,0.783793,"Senior AI Engineer at Meta with 7.9 years building retrieval and ranking systems, with validated depth in BM25 and Python; based in Noida, Uttar Pradesh, actively open to work."
CAND_0043228,80,0.780936,"Applied ML Engineer at Zoho with 6.8 years building retrieval and ranking systems, with validated depth in Learning to Rank, OpenSearch and Sentence Transformers; based in Chennai, Tamil Nadu, available with notice."
CAND_0036184,81,0.780676,"Recommendation Systems Engineer at CRED with 6 years building retrieval and ranking systems, with validated depth in Embeddings, FAISS and Pinecone; based in Trivandrum, Kerala, actively open to work."
CAND_0030031,82,0.780654,"Title is 'AI Engineer' but career history shows 7 retrieval/ranking signal(s) and skills include BM25, Information Retrieval and Milvus; 5.7 years of experience, based in Trivandrum, Kerala."
CAND_0057701,83,0.779089,"Recommendation Systems Engineer at Verloop.io with 4.1 years building retrieval and ranking systems, with validated depth in Learning to Rank, Milvus and OpenSearch; based in Chandigarh, Chandigarh, actively open to work."
CAND_0037000,84,0.777462,"Search Engineer at Unacademy with 2.7 years building retrieval and ranking systems, with validated depth in BM25, Embeddings and FAISS; based in Noida, Uttar Pradesh, available with notice. One concern: only 2.7 years of experience (JD asks for 5–9)."
CAND_0030468,85,0.776924,"Senior Applied Scientist at Swiggy with 5.4 years building retrieval and ranking systems, with validated depth in Milvus and OpenSearch; based in Indore, Madhya Pradesh, actively open to work."
CAND_0041568,86,0.776751,"Search Engineer at Haptik with 5.2 years building retrieval and ranking systems, with validated depth in BM25, Pinecone and Qdrant; based in Sydney, actively open to work."
CAND_0095528,87,0.776528,"Title is 'Senior Data Scientist' but career history shows 6 retrieval/ranking signal(s) and skills include Elasticsearch, OpenSearch and Python; 5.3 years of experience, based in Indore, Madhya Pradesh."
CAND_0069905,88,0.776305,"Applied ML Engineer at Sarvam AI with 6.6 years building retrieval and ranking systems, with validated depth in Learning to Rank, Python and Sentence Transformers; based in Bhubaneswar, Odisha, actively open to work."
CAND_0024466,89,0.775446,"Search Engineer at PharmEasy with 5.2 years building retrieval and ranking systems, with validated depth in BM25, Pinecone and Sentence Transformers; based in Toronto, actively open to work."
CAND_0006418,90,0.775417,"Machine Learning Engineer at Verloop.io with 5.7 years of experience; career descriptions show 3 retrieval/ranking signal(s) and 4 production deployment mention(s), though fewer formally listed skills match the JD's must-haves."
CAND_0016163,91,0.774988,"Applied ML Engineer at Dream11 with 6.7 years building retrieval and ranking systems, with validated depth in Embeddings, Pinecone and Weaviate; based in Gurgaon, Haryana, actively open to work."
CAND_0083307,92,0.773464,"Search Engineer at CRED with 7.8 years building retrieval and ranking systems, with validated depth in Embeddings, Learning to Rank and Pinecone; based in Vizag, Andhra Pradesh, actively open to work."
CAND_0066999,93,0.772048,"Recommendation Systems Engineer at Microsoft with 5.9 years building retrieval and ranking systems, with validated depth in BM25, Embeddings and FAISS; based in Delhi, Delhi, actively open to work."
CAND_0064904,94,0.770689,"Title is 'AI Engineer' but career history shows 6 retrieval/ranking signal(s) and skills include Elasticsearch, Embeddings and OpenSearch; 4.9 years of experience, based in Hyderabad, Telangana."
CAND_0094056,95,0.762833,"NLP Engineer at Rephrase.ai with 5.9 years building retrieval and ranking systems, with validated depth in BM25, Embeddings and Learning to Rank; based in Chennai, Tamil Nadu, available with notice."
CAND_0005649,96,0.760423,"Title is 'Senior Data Scientist' but career history shows 14 retrieval/ranking signal(s) and skills include Information Retrieval, RAG and Weaviate; 7.4 years of experience, based in Delhi, Delhi."
CAND_0044855,97,0.759436,"Title is 'Senior Data Scientist' but career history shows 14 retrieval/ranking signal(s) and skills include Embeddings, Information Retrieval and Learning to Rank; 6.6 years of experience, based in Coimbatore, Tamil Nadu."
CAND_0078042,98,0.757646,"Applied ML Engineer at PolicyBazaar with 4.7 years building retrieval and ranking systems, with validated depth in OpenSearch, Pinecone and Sentence Transformers; based in Dubai, available with notice."
CAND_0039521,99,0.756154,"Search Engineer at Salesforce with 3 years building retrieval and ranking systems, with validated depth in BM25, Embeddings and Qdrant; based in Coimbatore, Tamil Nadu, available with notice. One concern: only 3 years of experience (JD asks for 5–9)."
CAND_0045250,100,0.754512,"Applied ML Engineer at Rephrase.ai with 6.6 years of experience; career descriptions show 3 retrieval/ranking signal(s) and 4 production deployment mention(s), though fewer formally listed skills match the JD's must-haves."
